,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
55,Ponta do Sol,51,BR,1569372195,74,-20.63,-46.0,67.62,4.76
56,Kanniyakumari,99,IN,1569372196,82,8.08,77.57,80.59,28.12
57,Mahebourg,75,MU,1569372197,88,-20.41,57.7,71.6,12.75
58,Pozo Colorado,82,PY,1569372198,29,-23.49,-58.8,85.62,8.48
59,Arlit,0,NE,1569372048,14,18.74,7.39,88.87,7.02
60,Arman,100,RU,1569372201,81,59.7,150.17,31.09,16.33
61,Tabou,72,CI,1569371949,95,4.42,-7.36,74.65,3.71
62,Sobolevo,0,RU,1569372203,84,54.43,31.9,33.42,1.41
63,Port Lincoln,17,AU,1569372205,75,-34.72,135.86,55.57,11.07
64,Arraial do Cabo,0,BR,1569371935,64,-22.97,-42.02,68.0,9.17
65,Busselton,62,AU,1569372207,65,-33.64,115.35,64.0,13.94
66,Szentgotthard,50,HU,1569372209,93,46.95,16.27,55.99,2.44
67,Umaria,100,IN,1569372210,96,23.52,80.84,71.59,7.02
68,Sitka,48,US,1569372014,49,37.17,-99.65,87.01,11.01
69,Saint Anthony,1,US,1569372213,40,43.97,-111.68,71.6,12.75
70,Coihueco,0,CL,1569372214,52,-36.63,-71.83,69.8,8.05
71,Faya,0,SA,1569372216,63,18.39,42.45,68.0,2.77
72,Nantucket,1,US,1569372217,77,41.28,-70.1,68.0,5.82
73,Gizo,0,IL,1569372218,73,31.8,34.94,71.6,2.24
74,Abu Dhabi,0,AE,1569372220,43,24.47,54.37,91.4,6.93
75,Butaritari,25,KI,1569372221,75,3.07,172.79,84.37,12.73
76,Hirara,40,JP,1569372222,69,24.8,125.28,80.6,13.87
77,Makakilo City,90,US,1569372223,62,21.35,-158.09,88.0,11.41
78,Thompson,90,CA,1569372020,76,55.74,-97.86,50.0,17.22
79,Puerto Ayora,0,EC,1569372226,69,-0.74,-90.35,73.4,10.29
80,Guymon,1,US,1569372007,24,36.68,-101.48,91.4,13.87
81,Les Cayes,100,HT,1569372018,74,18.19,-73.75,81.67,2.28
82,Belyy Yar,0,RU,1569372230,93,53.6,91.39,41.0,3.71
83,Martaban,52,MM,1569372231,88,16.53,97.61,75.72,7.94
84,Jamestown,0,AU,1569372232,53,-33.21,138.6,59.71,10.58
85,Talnakh,75,RU,1569372234,84,69.49,88.39,33.8,15.66
86,Ciudad del Maiz,38,MX,1569372235,55,22.4,-99.6,79.0,15.01
87,Saint-Philippe,90,CA,1569372236,87,45.36,-73.48,59.0,5.19
88,Castro,0,CL,1569372238,100,-42.48,-73.76,50.0,3.36
89,Torbay,90,CA,1569372239,93,47.66,-52.73,46.0,8.05
90,Vestmannaeyjar,100,IS,1569371958,91,63.44,-20.27,50.17,30.31
91,Clyde River,1,CA,1569372242,92,70.47,-68.59,28.4,2.24
92,Jiuquan,0,CN,1569372243,23,39.73,98.49,58.81,2.64
93,Kysyl-Syr,99,RU,1569372244,79,63.9,122.77,37.57,2.21
94,Cherskiy,0,RU,1569372246,59,68.75,161.3,34.51,8.05
95,Atuona,0,PF,1569372247,76,-9.8,-139.03,79.69,17.96
96,Katsuura,20,JP,1569372248,69,33.93,134.5,78.01,9.17
97,Venecia,83,CO,1569372250,88,4.09,-74.48,58.81,5.32
98,Marystown,100,CA,1569372251,89,47.17,-55.16,49.45,18.41
99,Mizque,10,BO,1569372252,54,-17.94,-65.34,63.12,7.34
100,Dunedin,94,NZ,1569372254,62,-45.87,170.5,48.0,21.0
101,Port-Gentil,90,GA,1569371964,88,-0.72,8.78,78.8,10.29
102,Upernavik,100,GL,1569372257,88,72.79,-56.15,35.59,9.84
103,Juneau,90,US,1569372258,87,58.3,-134.42,51.8,4.7
104,Cabo San Lucas,5,MX,1569371973,69,22.89,-109.91,86.0,20.8
105,Luderitz,0,NA,1569372085,10,-26.65,15.16,87.8,26.4
106,Tasiilaq,100,GL,1569372262,93,65.61,-37.64,41.0,6.93
107,Chuy,0,UY,1569372055,85,-33.69,-53.46,55.02,7.85
108,Leshukonskoye,99,RU,1569372264,91,64.9,45.76,35.59,9.64
109,Dikson,100,RU,1569372266,96,73.51,80.55,37.02,20.29
110,Lompoc,1,US,1569372267,27,34.64,-120.46,93.0,8.05
111,Kapaa,40,US,1569372268,66,22.08,-159.32,86.0,8.05
112,Dickinson,75,US,1569372270,55,46.88,-102.79,60.8,16.11
113,Chifeng,0,CN,1569372271,33,42.27,118.96,65.29,7.49
114,Norman Wells,75,CA,1569372006,61,65.28,-126.83,46.4,6.93
115,Pachino,73,IT,1569372274,72,36.72,15.09,64.99,3.36
116,Nome,1,US,1569372275,83,30.04,-94.42,82.4,3.36
117,Egvekinot,78,RU,1569372277,68,66.32,-179.17,32.89,15.95
118,Mandera,0,ET,1569372278,55,3.94,41.86,78.97,12.88
119,Ialibu,99,PG,1569372280,91,-6.28,143.99,70.15,3.2
120,Pitimbu,40,BR,1569372068,83,-7.47,-34.81,75.2,6.93
121,Freetown,84,BS,1569372282,71,26.61,-78.36,78.79,12.3
122,Avarua,25,CK,1569372220,64,-21.21,-159.78,75.2,13.87
123,Portland,75,US,1569372077,68,43.66,-70.25,64.4,11.41
124,Severo-Kurilsk,61,RU,1569372058,79,50.68,156.12,49.27,24.83
125,Tuktoyaktuk,20,CA,1569372287,80,69.44,-133.03,41.0,3.36
126,Tuatapere,100,NZ,1569372289,78,-46.13,167.69,42.01,7.0
127,Waipawa,3,NZ,1569372072,79,-39.94,176.59,51.01,15.01
128,Santa Marta,45,CO,1569372291,70,11.24,-74.21,86.0,10.02
129,Mehamn,99,NO,1569372293,80,71.03,27.85,40.62,17.31
130,Urgut,0,UZ,1569372294,55,39.41,67.25,62.6,9.17
131,Coffs Harbour,90,AU,1569372295,64,-30.3,153.13,70.0,11.41
132,Isangel,75,VU,1569372297,61,-19.55,169.27,78.8,9.17
133,San Andres,32,PH,1569372298,75,13.32,122.68,81.85,5.55
134,Vanimo,75,PG,1569372299,75,-2.67,141.3,81.85,2.44
135,Mount Gambier,75,AU,1569372301,76,-37.83,140.78,57.2,6.93
136,Alofi,75,NU,1569372018,61,-19.06,-169.92,78.8,12.75
137,Todos Santos,20,MX,1569372303,55,23.45,-110.23,86.0,8.05
138,Gigmoto,35,PH,1569372304,79,13.78,124.39,82.21,11.81
139,Broken Hill,100,AU,1569372306,36,-31.97,141.45,60.8,14.99
140,Port Elizabeth,1,US,1569372071,63,39.31,-74.98,73.4,5.82
141,Jining,70,CN,1569372312,24,35.41,116.58,81.0,3.0
142,Maningrida,7,AU,1569372057,53,-12.05,134.23,81.31,11.1
143,Aksarka,100,RU,1569372314,91,66.56,67.8,35.77,16.91
144,Mitsamiouli,70,KM,1569372315,73,-11.38,43.28,79.15,17.27
145,Barrow,0,AR,1569372317,54,-38.31,-60.23,55.57,2.62
146,Luau,44,CD,1569372318,67,-10.7,22.23,69.97,0.96
147,Alyangula,0,AU,1569372319,69,-13.85,136.42,80.6,8.05
148,New Norfolk,75,AU,1569372321,50,-42.78,147.06,55.99,8.05
149,Nara,20,JP,1569372322,69,34.68,135.8,77.0,2.24
150,Bethel,75,US,1569372324,57,60.79,-161.76,51.8,18.34
151,Albany,75,US,1569372325,59,42.65,-73.75,64.0,10.29
152,Dauphin,90,CA,1569372326,54,51.15,-100.04,59.0,11.41
153,Grindavik,75,IS,1569372327,93,63.84,-22.43,51.8,14.99
154,Monduli,27,TZ,1569372329,75,-3.3,36.45,65.11,3.89
155,Huai Thalaeng,35,TH,1569372330,94,15.0,102.65,73.4,2.24
156,Kruisfontein,1,ZA,1569372332,83,-34.0,24.73,47.82,9.53
157,Limbang,75,BN,1569372333,79,4.75,115.01,87.8,2.24
158,General Pico,0,AR,1569372334,31,-35.66,-63.75,65.29,5.75
159,Jalu,0,LY,1569372336,28,29.03,21.55,79.69,8.23
160,Show Low,1,US,1569372337,72,34.25,-110.03,71.6,5.82
161,Viedma,0,AR,1569372170,54,-40.81,-62.99,59.17,10.09
162,Sao Filipe,100,CV,1569372340,90,14.9,-24.5,80.41,13.35
163,Mahibadhoo,100,MV,1569372341,69,3.78,72.97,82.75,9.62
164,Sorland,61,NO,1569372342,50,67.67,12.69,50.52,1.7
165,Kodiak,1,US,1569372344,78,39.95,-94.76,75.2,10.29
166,Bridlington,100,GB,1569372345,100,54.08,-0.19,59.0,5.82
167,Veraval,75,FR,1569372346,93,49.65,0.71,59.0,13.87
168,Monrovia,75,LR,1569372347,94,6.33,-10.8,77.0,6.38
169,Comodoro Rivadavia,0,AR,1569372084,42,-45.87,-67.48,66.2,13.87
170,Namatanai,86,PG,1569372350,83,-3.66,152.44,80.59,11.63
171,Maumere,100,ID,1569372351,54,-8.63,122.22,83.11,1.86
172,Omaruru,59,NA,1569372353,10,-21.42,15.95,71.77,10.94
173,Hamilton,20,CA,1569372338,77,43.26,-79.87,66.2,5.82
174,Evensk,100,RU,1569372355,49,61.92,159.24,36.12,33.2
175,Necochea,0,AR,1569372081,63,-38.55,-58.74,55.0,2.21
176,Ballina,35,IE,1569372137,96,54.11,-9.15,57.99,1.01
177,Matara,57,BI,1569372359,72,-3.48,29.48,55.21,0.49
178,Datong,0,CN,1569372361,29,40.09,113.3,64.02,0.47
179,Mala,80,PE,1569372362,94,-12.66,-76.63,60.42,11.48
180,Saskylakh,98,RU,1569372318,93,71.97,114.09,34.15,8.46
181,Mahanoro,87,MG,1569372365,98,-19.9,48.8,67.09,1.68
182,Cockburn Town,100,TC,1569372249,74,21.46,-71.14,81.85,7.76
183,Quila,92,MX,1569372367,83,20.35,-104.08,73.0,5.99
184,Kailua,40,US,1569372369,55,21.39,-157.74,87.8,10.29
185,Vanavara,0,RU,1569372370,90,60.35,102.28,38.11,5.12
186,Ilulissat,86,GL,1569372371,86,69.22,-51.1,37.4,13.94
187,Ancud,0,CL,1569372373,100,-41.87,-73.83,50.0,3.36
188,Dingle,8,PH,1569372374,84,11.0,122.67,80.41,6.51
189,Tarakan,40,ID,1569372269,88,3.3,117.63,80.6,5.82
190,Acajutla,20,SV,1569372377,83,13.59,-89.83,78.8,2.24
191,Takoradi,55,GH,1569372254,95,4.89,-1.75,74.11,6.15
192,Niquero,92,CU,1569372380,72,20.04,-77.58,85.62,10.98
193,Moerai,31,PF,1569372381,77,-22.43,-151.33,70.69,12.62
194,Sroda Wielkopolska,100,PL,1569372382,93,52.23,17.28,57.0,8.05
195,Manakara,17,MG,1569372384,96,-22.14,48.01,66.91,4.18
196,Tateyama,40,JP,1569372385,78,36.66,137.31,77.0,2.24
197,Tupaciguara,0,BR,1569372387,41,-18.59,-48.7,78.8,9.17
198,Zelenogorskiy,0,RU,1569372388,75,55.03,87.0,41.0,6.71
199,Ahuimanu,40,US,1569372390,55,21.44,-157.84,87.8,10.29
200,Aklavik,40,CA,1569372391,61,68.22,-135.01,46.4,4.7
201,Nazca,0,PE,1569372392,72,-14.83,-74.94,61.87,6.67
202,Flinders,75,AU,1569372394,59,-34.58,150.85,70.0,5.82
203,Toora-Khem,98,RU,1569372395,85,52.47,96.11,46.57,2.3
204,Erzin,0,TR,1569372397,88,36.95,36.2,66.2,5.82
205,Milkovo,90,BG,1569372398,93,41.53,24.68,60.8,3.36
206,Te Anau,49,NZ,1569372400,81,-45.41,167.72,37.02,10.8
207,Rosetta,0,EG,1569372401,60,31.4,30.42,76.27,2.8
208,Buala,91,SB,1569372402,68,-8.15,159.59,82.92,3.36
209,Ratnapura,100,IN,1569372404,89,17.9,77.63,73.39,2.98
210,Pahrump,1,US,1569372405,7,36.21,-115.98,93.0,3.36
211,Padang,70,ID,1569372406,85,-0.92,100.36,79.32,15.3
212,Enshi,100,CN,1569372408,96,30.29,109.48,54.49,1.39
213,Camocim,89,BR,1569372409,86,-2.9,-40.84,74.47,4.07
214,Yerbogachen,23,RU,1569372410,88,61.28,108.01,38.82,7.16
215,Powell River,75,CA,1569372412,82,49.84,-124.52,62.01,3.36
216,Kavieng,100,PG,1569372413,68,-2.57,150.8,84.19,6.98
217,Tezu,59,IN,1569372414,83,27.93,96.16,66.01,2.21
218,Qasigiannguit,100,GL,1569372415,86,68.82,-51.19,37.4,4.36
219,Buraydah,0,SA,1569372417,29,26.33,43.97,78.8,4.7
220,Shubarshi,10,KZ,1569372418,52,48.59,57.19,40.62,3.78
221,Nikolskoye,0,RU,1569372419,94,59.7,30.79,41.0,2.51
222,Marsh Harbour,91,BS,1569372421,74,26.54,-77.06,78.61,11.72
223,Martapura,77,ID,1569372422,71,-3.41,114.85,81.49,11.07
224,Vostok,0,RU,1569372423,63,46.45,135.83,45.31,7.56
225,Pangnirtung,96,CA,1569372425,94,66.15,-65.72,32.17,0.98
226,Bazarnyy Karabulak,87,RU,1569372426,83,52.28,46.41,35.05,5.77
227,Saint-Augustin,75,CA,1569372427,87,45.63,-73.98,59.0,3.36
228,Margate,75,AU,1569372168,50,-43.03,147.26,55.99,8.05
229,Zaysan,57,KZ,1569372430,56,47.47,84.87,53.05,2.53
230,Banda,2,IN,1569372431,91,28.24,80.11,73.21,5.28
231,Mkushi,0,ZM,1569372432,46,-13.61,29.4,62.77,6.73
232,Deputatskiy,94,RU,1569372434,88,69.3,139.9,24.61,5.28
233,Coihaique,90,CL,1569372435,76,-45.58,-72.07,53.6,4.7
234,Mariental,75,BR,1569372437,93,-25.72,-49.65,57.2,8.05
235,Kati,20,ML,1569372438,83,12.75,-8.07,73.4,5.82
236,Kanye,0,BW,1569372439,81,-24.98,25.34,55.75,9.46
237,Sotuta,100,MX,1569372441,93,20.6,-89.01,78.61,3.2
238,Dabat,52,ET,1569372442,80,12.98,37.77,65.11,2.15
239,Balurghat,100,IN,1569372443,92,25.22,88.78,75.55,5.82
240,Lixourion,0,GR,1569372445,75,38.2,20.43,70.0,7.0
241,Temir,48,KZ,1569372446,63,49.14,57.13,37.75,2.66
242,Fayetteville,1,US,1569372201,94,36.06,-94.16,72.0,3.36
243,Castel San Giovanni,37,IT,1569372448,80,45.06,9.43,64.0,3.62
244,Kahului,40,US,1569372245,43,20.89,-156.47,91.4,19.46
245,East London,90,ZA,1569372315,70,-33.02,27.91,52.51,3.31
246,Gisborne,9,NZ,1569372452,44,-38.66,178.02,62.01,11.99
247,Sao Sepe,0,BR,1569372454,82,-30.16,-53.57,57.2,3.36
248,Guerrero Negro,39,MX,1569372455,86,27.97,-114.04,68.71,14.81
249,Itaituba,90,BR,1569372456,63,-4.26,-55.99,81.12,0.67
250,Kangaatsiaq,0,GL,1569372457,77,68.31,-53.46,40.27,17.22
251,Selikhino,53,RU,1569372459,49,50.37,137.51,49.09,12.5
252,Saldanha,1,PT,1569372460,75,41.42,-6.55,55.02,5.77
253,Ekibastuz,90,KZ,1569372462,56,51.72,75.32,42.25,5.75
254,Raudeberg,38,NO,1569372463,93,61.99,5.14,51.01,2.24
255,Henties Bay,84,NA,1569372464,91,-22.12,14.28,59.0,1.01
256,Sheltozero,93,RU,1569372466,76,61.37,35.37,37.39,7.7
257,Tiarei,40,PF,1569372467,62,-17.53,-149.33,86.0,4.7
258,Ibanda,86,TZ,1569372468,59,-2.8,32.47,73.02,2.64
259,Inta,100,RU,1569372470,96,66.04,60.13,35.05,17.31
260,Yulara,72,AU,1569372471,67,-25.24,130.99,57.2,16.11
261,Oranjemund,0,ZA,1569372472,50,-28.55,16.43,64.57,18.03
262,Presidencia Roque Saenz Pena,0,AR,1569372474,57,-26.79,-60.44,68.89,6.58
263,Pevek,100,RU,1569372475,94,69.7,170.27,34.32,11.68
264,Kuloy,99,RU,1569372477,92,61.03,42.49,34.87,5.53
265,Dumai,51,ID,1569372478,94,1.68,101.45,74.82,1.39
266,Quatre Cocos,75,MU,1569372479,88,-20.21,57.76,71.6,12.75
267,Shache,0,CN,1569372481,71,38.42,77.24,64.99,3.2
268,Mao,90,DO,1569372482,100,19.55,-71.08,77.0,5.82
269,Svetlogorsk,75,RU,1569372483,86,53.14,59.15,30.2,11.18
270,Hasaki,20,JP,1569372485,69,35.73,140.83,78.01,9.17
271,Ashdod,20,IL,1569372486,73,31.8,34.65,71.6,3.36
272,Barhi,75,IN,1569372487,94,24.31,85.42,77.0,9.17
273,Altamont,20,CA,1569372489,100,49.4,-98.5,55.4,5.82
274,Fort Saint James,95,CA,1569372490,50,54.43,-124.25,54.12,14.07
275,Puma,31,TZ,1569372491,64,-5.0,34.76,64.75,13.87
276,Monchegorsk,100,RU,1569372493,99,67.94,32.93,33.79,5.39
277,Iquique,90,CL,1569372450,77,-20.22,-70.14,60.8,9.17
278,Mayumba,98,GA,1569372495,89,-3.44,10.65,76.62,14.16
279,Kade,68,GH,1569372496,99,6.1,-0.84,72.85,2.39
280,Richards Bay,64,ZA,1569372498,66,-28.77,32.06,66.01,40.42
281,Tamiahua,48,MX,1569372499,76,21.28,-97.45,83.11,8.88
282,Meadow Lake,75,CA,1569372500,54,54.13,-108.44,53.6,10.29
283,Tura,29,RU,1569372502,88,64.27,100.22,36.49,9.31
284,Tilichiki,100,RU,1569372503,94,60.47,166.1,37.75,12.75
285,Faanui,54,PF,1569372504,76,-16.48,-151.75,79.87,20.13
286,Aksu,0,KZ,1569372506,100,52.04,76.93,28.4,4.47
287,Mugumu,72,TZ,1569372508,59,-1.84,34.67,68.89,3.42
288,Ahipara,58,NZ,1569372509,72,-35.17,173.16,57.55,29.21
289,Saint-Denis,0,FR,1569372511,82,48.94,2.36,57.99,12.75
290,Rocha,0,UY,1569372512,83,-34.48,-54.34,53.41,2.75
291,Bilma,0,NE,1569372383,12,18.69,12.92,85.09,3.98
292,Boende,100,CD,1569372515,93,-0.28,20.88,72.85,3.15
293,Khani,0,GE,1569372516,77,41.96,42.96,60.8,8.05
294,Gamba,86,CN,1569372517,51,28.28,88.52,36.49,2.59
295,Jeremie,100,HT,1569372519,81,18.65,-74.12,80.59,8.84
296,Los Lunas,1,US,1569372411,27,34.81,-106.76,79.0,8.05
297,Zaidpur,75,IN,1569372521,94,26.83,81.33,78.8,6.93
298,Kardamaina,40,GR,1569372523,94,36.78,27.14,71.6,10.29
299,Olinda,90,AU,1569372524,71,-37.84,145.39,60.01,8.05
300,Half Moon Bay,1,US,1569372525,17,37.46,-122.43,91.4,19.46
301,Nieuw Amsterdam,20,SR,1569372526,74,5.88,-55.08,84.2,9.17
302,High Rock,84,BS,1569372528,71,26.63,-78.28,78.79,12.3
303,Pervomayskiy,0,RU,1569372529,84,53.24,40.29,34.69,5.26
304,Geraldton,90,CA,1569372530,67,49.72,-86.95,60.8,16.11
305,Kavaratti,100,IN,1569372532,78,10.57,72.64,81.12,14.2
306,Shamgarh,11,IN,1569372533,93,24.18,75.63,74.82,12.55
307,Coxim,35,BR,1569372534,41,-18.5,-54.75,86.52,4.45
308,Doha,20,QA,1569372535,79,25.29,51.53,89.6,6.93
309,Georgetown,40,GY,1569372441,74,6.8,-58.16,84.2,11.41
310,Tiksi,59,RU,1569372538,82,71.64,128.87,35.59,13.22
311,Puerto El Triunfo,40,SV,1569372539,83,13.27,-88.55,82.4,6.93
312,Tual,63,ID,1569372541,82,-5.67,132.75,78.07,18.34
313,San Cristobal,79,HN,1569372542,84,14.68,-86.92,73.39,2.26
314,Melilla,75,EC,1569372543,83,-0.8,-80.23,73.4,11.41
315,Quelimane,20,MZ,1569372545,88,-17.88,36.89,73.4,5.82
316,Prince Rupert,90,CA,1569372546,87,54.32,-130.32,55.4,8.05
317,Xining,36,CN,1569372547,66,36.62,101.77,40.81,1.12
318,Nalut,15,LY,1569372549,85,31.86,10.98,71.05,8.93
319,Sao Joao da Barra,76,BR,1569372550,71,-21.64,-41.05,65.65,4.92
320,Geilo,100,NO,1569372551,86,60.53,8.21,42.01,3.62
321,Chancay,90,PE,1569372553,88,-11.56,-77.27,62.6,12.75
322,Neiafu,20,TO,1569372554,54,-18.65,-173.98,80.6,5.82
323,Tongzhou,100,CN,1569372555,73,32.07,121.07,75.99,3.6
324,Porto-Vecchio,90,FR,1569372377,60,41.59,9.28,73.4,10.29
325,Port Blair,94,IN,1569372558,74,11.67,92.75,82.21,5.21
326,Zhangye,0,CN,1569372559,33,38.94,100.46,54.85,5.14
327,Stokmarknes,60,NO,1569372561,79,68.56,14.91,44.01,3.0
328,Plettenberg Bay,1,ZA,1569372562,91,-34.05,23.37,49.09,5.39
329,Victoria,75,BN,1569372304,55,5.28,115.24,87.8,10.29
330,Porbandar,22,IN,1569372564,81,21.64,69.61,82.02,13.35
331,Gibara,20,CU,1569372566,94,21.11,-76.13,77.0,4.7
332,North Adams,90,US,1569372567,93,42.7,-73.11,62.6,4.7
333,Preobrazheniye,0,RU,1569372568,39,42.9,133.91,55.92,6.51
334,Murray Bridge,0,AU,1569372570,77,-35.12,139.28,62.01,1.99
335,Carlsbad,0,CZ,1569372571,93,50.23,12.87,55.99,3.36
336,Nongpoh,90,IN,1569372572,100,25.9,91.88,75.2,4.7
337,Quimper,90,FR,1569372574,93,48.0,-4.1,61.0,12.75
338,Samarai,84,PG,1569372575,79,-10.62,150.67,78.07,9.64
339,Catuday,45,PH,1569372576,81,16.29,119.81,81.85,8.79
340,Sept-Iles,75,CA,1569372505,75,50.2,-66.38,46.99,5.82
341,Biltine,53,TD,1569372579,29,14.53,20.93,89.41,3.67
342,Howard Springs,40,AU,1569372580,62,-12.5,131.05,87.01,2.24
343,Esperance,52,AU,1569372582,36,-33.86,121.89,62.6,13.87
344,Lazaro Cardenas,40,MX,1569372583,48,28.39,-105.62,82.4,11.41
345,Lulea,19,SE,1569372584,94,65.58,22.15,35.6,3.36
346,Romodanovo,10,RU,1569372586,92,54.42,45.33,31.27,6.98
347,Marawi,27,PH,1569372587,68,8.0,124.29,84.0,1.01
348,Ziro,100,IN,1569372588,98,27.54,93.82,55.39,1.88
349,Gambo,100,CF,1569372590,97,4.65,22.26,70.51,2.21
350,Praia,0,BR,1569372591,52,-20.25,-43.81,69.8,17.22
351,Goundam,35,ML,1569372592,12,16.42,-3.66,95.89,7.02
352,Comrat,0,MD,1569372594,93,46.3,28.66,53.05,4.59
353,Ginir,100,ET,1569372595,81,7.14,40.71,62.05,3.11
354,Mosquera,75,CO,1569372596,82,4.71,-74.23,57.2,4.7
355,Kawalu,27,ID,1569372598,83,-7.38,108.21,69.42,4.43
356,Hualmay,69,PE,1569372459,94,-11.1,-77.61,61.69,13.18
357,Wajir,0,KE,1569372600,59,1.75,40.07,76.62,15.28
358,Nanortalik,78,GL,1569372602,77,60.14,-45.24,42.25,1.39
359,Karratha,84,AU,1569372603,36,-20.74,116.85,76.62,11.68
360,Uchiza,93,PE,1569372604,83,-8.46,-76.46,67.45,4.99
361,Yatou,75,CM,1569372606,100,3.63,9.81,75.2,3.36
362,Ucluelet,40,CA,1569372388,77,48.94,-125.55,64.0,16.11
363,Paamiut,100,GL,1569372612,88,61.99,-49.67,40.62,30.36
364,Ayan,0,IR,1569372613,21,38.23,44.7,46.75,5.77
365,Dharchula,65,IN,1569372614,84,29.85,80.53,47.65,1.88
366,Shingu,40,JP,1569372615,64,33.72,135.99,75.2,2.24
367,Laguna,40,BZ,1569372617,74,16.17,-88.94,87.8,4.7
368,Manono,100,CD,1569372618,72,-7.3,27.4,74.65,4.41
369,Longyearbyen,75,NO,1569372619,86,78.22,15.63,37.4,6.93
370,Lircay,5,PE,1569372621,80,-12.99,-74.72,38.65,9.57
371,Guadix,0,ES,1569372622,71,37.3,-3.14,66.0,2.24
372,Anadyr,20,RU,1569372623,64,64.73,177.51,39.2,11.18
373,Svetlaya,0,RU,1569372624,41,46.54,138.33,48.91,9.4
374,Dale,58,CN,1569372626,60,24.09,109.99,70.69,5.14
